component_id,layer,component_name,inputs,outputs,implementation_status,code_evidence,model_or_service,evaluation_artifact,figure_id,limitations,future_work
P01,Perception,Pose landmark extraction,video frames,33 pose landmarks and visibility,implemented,frontend/src/components/SkeletonCanvas.jsx | frontend/src/pose/poseProcessor.js,MediaPipe Pose Landmarker,research/system-evaluation/ALGORITHMIC_AWARENESS_VERIFICATION.md,,camera viewpoint occlusion and landmark uncertainty,real-camera landmark and failure-case evaluation
P02,Perception,Hand and face readiness signals,camera frames,hand closure and face readiness features,implemented,frontend/src/components/SkeletonCanvas.jsx | frontend/src/tracking/biomechanicalFeatureExtractor.js,MediaPipe-derived signals,research/system-evaluation/ALGORITHMIC_AWARENESS_VERIFICATION.md,,signals are proxies and can be occluded,quantify reliability across participants and viewpoints
B01,Biomechanics,Angle and rule evaluation,landmarks and technique targets,joint angles issues and form evidence,implemented,frontend/src/utils/angleEngine.js | frontend/src/tracking/ruleEvaluator.js,deterministic rules,research/system-evaluation/ALGORITHMIC_AWARENESS_VERIFICATION.md,,expert-authored ranges are not universally validated,triangulate with independent experts and sensor data
L101,L1 motion,Immediate motion context,current landmarks and recent frames,motion and tracking context,implemented,frontend/src/temporal/level1MotionLayer.js,deterministic temporal features,research/system-evaluation/ALGORITHMIC_AWARENESS_VERIFICATION.md,,short horizon and camera dependent,live robustness evaluation
T01,L2 temporal prediction,ACP-STGAT,recent skeleton frames,30 predicted skeleton frames and confidence,implemented and offline evaluated,frontend/src/temporal/stgatOnnxPredictor.js,ACP-STGAT ONNX,research/outputs/acp_stgat/20260731T061529Z/RESULT_INTERPRETATION.md,,benchmark-derived evidence does not prove martial-arts validity,collect grouped real martial-arts sessions and perform ablations
T02,L2 phase reasoning,Temporal phase classifier,90 landmark frames,phase probabilities and boundary evidence,implemented and synthetically evaluated,frontend/src/tracking/temporalPhaseOnnxPredictor.js | frontend/src/tracking/durationAwareSequenceDecoder.js,ST-GCN/TCN ONNX,research/outputs/phase_classifier/20260731T091140Z/RESULT_INTERPRETATION.md,,current performance reflects generated phase structure,collect manually annotated real participant sessions and retrain
L201,L2 action,Action state and forecast trust,current motion phase biomechanics and predicted pose,step state mistake risk and trusted forecast,implemented,frontend/src/temporal/level2ActionLayer.js | frontend/src/temporal/forecastAwareness.js,hybrid deterministic and learned evidence,research/system-evaluation/ALGORITHMIC_AWARENESS_VERIFICATION.md,,thresholds need live calibration,evaluate false warnings and domain performance
L301,L3 session,Session and repetition awareness,ordered temporal events and form evidence,repetitions trend consistency fatigue proxy and recommendation,implemented,frontend/src/temporal/level3SessionLayer.js | frontend/src/temporal/repetitionSessionLedger.js,deterministic aggregation,research/system-evaluation/ALGORITHMIC_AWARENESS_VERIFICATION.md,,fatigue is not physiological measurement,pilot comparison against expert and sensor observations
L401,L4 user,Longitudinal learner context,session summaries and history,weakness mastery progression and personalization,implemented structure,frontend/src/temporal/level4UserLayer.js | backend/models/training_memory.py,application memory,research/system-evaluation/ALGORITHMIC_AWARENESS_VERIFICATION.md,,longitudinal validity not established,multi-session participant evaluation
SA01,Situation awareness,Attention and action selection,L1-L4 state,situation target feedback decision and next action,implemented,frontend/src/situationAwareness/SituationAwarenessLayer.js,deterministic evidence gates,research/system-evaluation/ALGORITHMIC_AWARENESS_VERIFICATION.md,,software verification is not task accuracy,end-to-end rule-only versus hybrid pilot
C01,Context boundary,Coach context aggregation,L1-L4 plus situation state,coach_intelligence_context packet,implemented,frontend/src/situationAwareness/buildCoachContextPacket.js,structured data contract,research/llm-evaluation/IMPLEMENTATION_AUDIT.md,,context compression may omit useful evidence,version and test schema contract
R01,Reasoning,Rule/template coaching generator,context packet,coaching action and message,implemented baseline,backend/agents/training_coach.py | backend/agents/coaching_agent.py,deterministic templates,research/llm-evaluation/IMPLEMENTATION_AUDIT.md,,language flexibility is limited,run blinded template versus candidate model evaluation
R02,Reasoning,External or local LLM,structured context packet,grounded structured coaching response,planned not operational,not present in checked repository,OpenAI or future local LLM,research/llm-evaluation/EVALUATION_PROTOCOL.md,,no operational result can currently be claimed,implement behind schema evidence and safety gates
M01,Memory and analytics,Practice recording and analytics,session timeline feedback and scores,stored summaries and learner records,implemented,frontend/src/tracking/sessionTimelineRecorder.js | backend/services/practice_analytics.py,application services,research/system-evaluation/ALGORITHMIC_AWARENESS_VERIFICATION.md,,pilot usefulness and longitudinal reliability pending,three-participant feasibility study
