"source_id","authors","year","title","venue","research_area","dataset_or_participants","method_or_concept","metrics_or_evaluation","key_supported_claim","important_limitation","framework_relevance","planned_section","doi","primary_url","verification_level","inclusion_status"
"S01","Bazarevsky et al.","2020","BlazePose: On-device Real-time Body Pose Tracking","arXiv preprint","Perception / pose","Single RGB image/video","33 body keypoints; lightweight on-device pose pipeline","Speed and pose quality comparisons","Supports the feasibility of real-time, laptop-camera body landmark extraction.","General pose benchmarks do not establish jab-angle or coaching accuracy.","Justifies the implemented MediaPipe landmark layer, not downstream correctness.","Architecture; limitations","10.48550/arXiv.2006.10204","https://arxiv.org/abs/2006.10204","Full-text analytic extraction completed for selected claims","Include"
"S02","Grishchenko et al.","2022","BlazePose GHUM Holistic: Real-time 3D Human Landmarks and Pose Estimation","arXiv preprint","Perception / holistic landmarks","Monocular RGB","Lightweight monocular 3D body and hand landmark estimation","Benchmark quality and runtime","Supports integrated body/hand landmark tracking from one camera.","Monocular depth and occlusion remain ambiguous; coordinates are not calibrated biomechanics.","Supports body/hand sensing scope and explicit measurement limitations.","Architecture; limitations","10.48550/arXiv.2206.11678","https://arxiv.org/abs/2206.11678","Full-text analytic extraction completed for selected claims","Include"
"S03","Zhang et al.","2020","MediaPipe Hands: On-device Real-time Hand Tracking","arXiv preprint","Perception / hands","RGB images/video","Palm detection plus 21-landmark hand model","Tracking quality and runtime","Supports real-time hand landmark tracking used in hand diagnostics.","Hand tracking alone does not validate guard quality or martial-arts form.","Justifies the hand layer while bounding coaching claims.","Architecture; limitations","10.48550/arXiv.2006.10214","https://arxiv.org/abs/2006.10214","Full-text analytic extraction completed for selected claims","Include"
"S04","Lugaresi et al.","2019","MediaPipe: A Framework for Building Perception Pipelines","arXiv preprint","Perception systems","Cross-platform perception applications","Graph-based pipelines for multimodal perception","Runtime/deployment examples","Supports a modular, real-time perception-pipeline architecture.","Framework capability is not evidence that a particular application is accurate.","Supports modular sensor-to-landmark pipeline design.","Architecture","10.48550/arXiv.1906.08172","https://arxiv.org/abs/1906.08172","Full-text analytic extraction completed for selected claims","Include"
"S05","Yan, Xiong & Lin","2018","Spatial Temporal Graph Convolutional Networks for Skeleton-Based Action Recognition","AAAI Conference on Artificial Intelligence 32(1)","Skeleton graph learning","Skeleton action datasets","Spatiotemporal graph convolution over joints and temporal edges","Action-recognition accuracy","Establishes skeleton sequences as spatiotemporal graphs for learned action representation.","Action recognition differs from future-pose regression and single-jab phase inference.","Foundational rationale for graph-based skeleton modelling.","Related work; model rationale","10.1609/aaai.v32i1.12328","https://ojs.aaai.org/index.php/aaai/article/view/12328","Full-text analytic extraction completed for selected claims","Include"
"S06","Shi et al.","2019","Two-Stream Adaptive Graph Convolutional Networks for Skeleton-Based Action Recognition","CVPR","Skeleton graph learning","NTU-RGB+D; Kinetics-Skeleton","Adaptive graph topology with joint and bone streams","Action-recognition accuracy","Shows that learned topology and bone vectors can improve skeleton-action models.","Large recognition benchmarks and depth-derived skeletons do not match the P001 webcam case.","Supports adaptive spatial relations and bone-aware features as design precedents.","Related work; model rationale","","https://openaccess.thecvf.com/content_CVPR_2019/html/Shi_Two-Stream_Adaptive_Graph_Convolutional_Networks_for_Skeleton-Based_Action_Recognition_CVPR_2019_paper.html","Full-text analytic extraction completed for selected claims","Include"
"S07","Chen et al.","2021","Multi-Scale Spatial Temporal Graph Convolutional Network for Skeleton-Based Action Recognition","AAAI Conference on Artificial Intelligence 35(2)","Skeleton graph learning","Skeleton action-recognition datasets","Multi-scale spatial-temporal graph convolution","Action-recognition accuracy","Motivates multi-scale joint relations and temporal receptive fields.","Recognition results cannot be transferred directly to phase classification or anticipation.","Related precedent for L2 skeletal action representation.","Related work","10.1609/aaai.v35i2.16197","https://ojs.aaai.org/index.php/AAAI/article/view/16197","Full-text analytic extraction completed for selected claims","Include"
"S08","Martinez, Black & Romero","2017","On Human Motion Prediction Using Recurrent Neural Networks","CVPR","Human motion prediction","Human3.6M","Sequence-to-sequence recurrent baseline and residual prediction","Joint-angle prediction error across horizons","Shows that a simple zero-velocity/last-pose baseline can be difficult to beat at short horizons.","Benchmark motions and joint-angle protocols differ from normalized MediaPipe jab landmarks.","Requires ACP-STGAT comparisons against simple baselines and horizon-specific reporting.","Model evaluation","","https://openaccess.thecvf.com/content_cvpr_2017/html/Martinez_On_Human_Motion_CVPR_2017_paper.html","Full-text analytic extraction completed for selected claims","Include"
"S09","Mao et al.","2019","Learning Trajectory Dependencies for Human Motion Prediction","ICCV","Human motion prediction","Human3.6M; CMU Mocap; 3DPW","DCT trajectory representation with learned graph dependencies","Motion-prediction error across horizons","Supports modelling temporal trajectories together with learned spatial joint dependencies.","Public mocap benchmarks do not establish monocular jab performance.","Direct precedent for ACP-STGAT temporal/spatial dependency rationale.","Related work; model rationale","","https://openaccess.thecvf.com/content_ICCV_2019/html/Mao_Learning_Trajectory_Dependencies_for_Human_Motion_Prediction_ICCV_2019_paper.html","Full-text analytic extraction completed for selected claims","Include"
"S10","Li et al.","2019","Actional-Structural Graph Convolutional Networks for Skeleton-Based Action Recognition","CVPR","Skeleton graphs / prediction auxiliary task","NTU-RGB+D; Kinetics","Actional and structural graph links plus future-pose auxiliary head","Recognition accuracy; future-pose diagnostic","Shows future-pose prediction can regularize detailed skeletal action representation.","Prediction is auxiliary and the task is recognition, not coaching anticipation.","Connects skeletal action representation with future-pose modelling.","Related work","","https://openaccess.thecvf.com/content_CVPR_2019/html/Li_Actional-Structural_Graph_Convolutional_Networks_for_Skeleton-Based_Action_Recognition_CVPR_2019_paper.html","Full-text analytic extraction completed for selected claims","Include"
